bookingId,user_id,flightId,bookingDate,statusId_x,name,email,phone,total_payment,last_payment_date,total_claim_amount,claim_count,origin,destination,departureTime,arrivalTime,statusId_y,claim_ratio,days_to_departure
28,1239,331,2025-01-14 16:36:09.717520,8,Patrick Greer,user1239@example.com,+1-711-262-5641,586.35,2025-01-16 10:36:09.717520,0.0,0.0,London,New York,2024-12-30 04:02:09.717520,2024-12-30 11:37:09.717520,2,0.0,-16
29,834,380,2025-08-06 02:36:09.717520,10,Steve Henderson,user834@example.com,(951)463-8272,731.75,2025-08-08 22:36:09.717520,0.0,0.0,Rome,London,2025-10-28 05:38:09.717520,2025-10-28 13:26:09.717520,2,0.0,83
30,116,264,2025-02-19 12:36:09.717520,8,Cynthia Wilcox,user116@example.com,317-871-1101x1824,93.36,2025-02-21 06:36:09.717520,0.0,0.0,Toronto,Madrid,2025-10-13 06:37:09.717520,2025-10-13 15:33:09.717520,2,0.0,235
31,1038,207,2025-02-08 02:36:09.717520,10,Angela Campbell,user1038@example.com,(227)644-0009x41323,441.62,2025-02-09 01:36:09.717520,41.13,1.0,Madrid,Dubai,2025-05-23 08:14:09.717520,2025-05-23 10:04:09.717520,2,0.09313436891445134,104
32,60,89,2025-03-08 16:36:09.717520,9,Taylor Johnson,user60@example.com,001-969-784-1445,481.65,2025-03-10 17:36:09.717520,0.0,0.0,New York,Rome,2024-12-07 00:28:09.717520,2024-12-07 08:34:09.717520,2,0.0,-92
33,511,17,2025-07-21 11:36:09.717520,10,Michelle Oconnor,user511@example.com,+1-440-509-5166,343.56,2025-07-22 07:36:09.717520,0.0,0.0,New York,Baku,2025-11-14 09:43:09.717520,2025-11-14 15:32:09.717520,2,0.0,115
34,408,141,2025-06-07 00:36:09.717520,8,Eric Perry,user408@example.com,523-603-3880x101,517.65,2025-06-07 07:36:09.717520,0.0,0.0,Toronto,Madrid,2025-10-14 07:51:09.717520,2025-10-14 16:49:09.717520,2,0.0,129
35,254,349,2024-12-15 17:36:09.717520,8,Billy Dominguez,user254@example.com,001-429-505-6039x21195,778.3,2024-12-16 04:36:09.717520,145.44,1.0,London,Istanbul,2025-01-19 02:45:09.717520,2025-01-19 06:57:09.717520,2,0.18686881665167673,34
36,1217,229,2025-03-01 01:36:09.717520,8,Bobby Simpson,user1217@example.com,324-615-6289x686,346.23,2025-03-04 00:36:09.717520,0.0,0.0,Dubai,Toronto,2024-12-09 07:08:09.717520,2024-12-09 11:53:09.717520,2,0.0,-82
37,717,177,2025-02-21 18:36:09.717520,8,Brandi Barker,user717@example.com,208.382.9742x5240,362.89,2025-02-24 13:36:09.717520,0.0,0.0,London,Toronto,2024-12-31 05:11:09.717520,2024-12-31 11:53:09.717520,2,0.0,-53
38,186,146,2024-12-14 22:36:09.717520,8,Mr. Michael Norman,user186@example.com,+1-437-698-9894,291.99,2024-12-16 21:36:09.717520,0.0,0.0,Berlin,Rome,2024-12-12 08:01:09.717520,2024-12-12 13:01:09.717520,2,0.0,-3
39,1172,400,2025-03-19 17:36:09.717520,8,Cheryl Yates,user1172@example.com,784.816.6688,297.91,2025-03-21 03:36:09.717520,0.0,0.0,Toronto,Baku,2025-03-22 19:38:09.717520,2025-03-23 00:52:09.717520,2,0.0,3
40,424,138,2025-10-29 23:36:09.717520,8,Julia Bautista,user424@example.com,+1-263-229-8349x25924,613.71,2025-10-31 08:36:09.717520,0.0,0.0,Berlin,Paris,2025-01-15 23:42:09.717520,2025-01-16 02:10:09.717520,2,0.0,-287
41,19,243,2025-02-06 06:36:09.717520,8,Diane Nicholson,user19@example.com,(872)818-4086x526,241.07,2025-02-08 19:36:09.717520,0.0,0.0,Dubai,Baku,2025-05-30 06:03:09.717520,2025-05-30 11:43:09.717520,6,0.0,112
42,18,115,2025-04-09 05:36:09.717520,8,Whitney Torres,user18@example.com,440.834.2864x224,442.83,2025-04-10 14:36:09.717520,0.0,0.0,Berlin,Toronto,2025-09-03 02:04:09.717520,2025-09-03 04:42:09.717520,1,0.0,146
43,626,365,2025-11-29 06:36:09.717520,8,Nicole Collins,user626@example.com,8362124362,268.38,2025-11-29 15:36:09.717520,0.0,0.0,Madrid,Istanbul,2024-12-13 12:58:09.717520,2024-12-13 15:36:09.717520,2,0.0,-351
44,772,437,2025-05-28 00:36:09.717520,8,Holly Morrison,user772@example.com,+1-648-860-4115x255,241.52,2025-05-29 05:36:09.717520,0.0,0.0,Istanbul,Rome,2025-11-23 00:22:09.717520,2025-11-23 04:25:09.717520,2,0.0,178
45,956,155,2025-11-12 02:36:09.717520,9,Sean Mitchell,user956@example.com,986-269-6440x37271,101.53,2025-11-12 15:36:09.717520,0.0,0.0,Rome,Istanbul,2025-11-10 18:06:09.717520,2025-11-10 19:45:09.717520,5,0.0,-2
46,814,300,2025-01-21 10:36:09.717520,8,Jill Mann,user814@example.com,698.253.1442x122,157.79,2025-01-23 04:36:09.717520,0.0,0.0,Madrid,New York,2025-03-06 10:31:09.717520,2025-03-06 16:27:09.717520,1,0.0,43
47,767,288,2025-10-28 05:36:09.717520,8,Nicholas Thompson,user767@example.com,3675360933,62.74,2025-10-28 08:36:09.717520,9.03,1.0,Dubai,Toronto,2025-06-10 20:47:09.717520,2025-06-11 05:45:09.717520,2,0.14392731909467643,-140
48,612,351,2025-01-25 01:36:09.717520,8,Michelle Stephens,user612@example.com,001-239-468-1766x7357,389.48,2025-01-28 00:36:09.717520,0.0,0.0,Paris,Berlin,2025-05-03 08:28:09.717520,2025-05-03 11:09:09.717520,6,0.0,98
49,567,328,2025-05-15 18:36:09.717520,8,Brian Strong,user567@example.com,928-882-7096x8300,657.42,2025-05-16 00:36:09.717520,0.0,0.0,Toronto,London,2025-10-17 08:03:09.717520,2025-10-17 16:06:09.717520,6,0.0,154
50,612,97,2025-02-15 02:36:09.717520,8,Michelle Stephens,user612@example.com,001-239-468-1766x7357,95.57,2025-02-15 16:36:09.717520,0.0,0.0,Paris,Rome,2025-11-05 04:59:09.717520,2025-11-05 13:34:09.717520,2,0.0,263
51,117,413,2025-10-03 22:36:09.717520,8,Jasmine Johnson,user117@example.com,(654)484-9733x60721,455.42,2025-10-06 15:36:09.717520,0.0,0.0,Istanbul,New York,2025-10-22 08:20:09.717520,2025-10-22 15:14:09.717520,1,0.0,18
52,287,370,2024-12-14 06:36:09.717520,8,Danielle Calderon,user287@example.com,+1-534-913-9856x851,209.44,2024-12-16 02:36:09.717520,0.0,0.0,Toronto,Paris,2025-07-22 13:44:09.717520,2025-07-22 18:44:09.717520,5,0.0,220
53,606,133,2025-07-02 22:36:09.717520,8,Tammy Carter,user606@example.com,001-331-686-0822,667.75,2025-07-05 05:36:09.717520,269.05,1.0,Madrid,Dubai,2025-11-05 06:45:09.717520,2025-11-05 14:47:09.717520,2,0.40292025458629727,125
54,73,299,2025-11-28 04:36:09.717520,8,Kathryn Jefferson,user73@example.com,4432380585,680.52,2025-11-28 19:36:09.717520,0.0,0.0,New York,Baku,2025-02-28 00:32:09.717520,2025-02-28 04:31:09.717520,5,0.0,-274
55,703,372,2025-11-30 17:36:09.717520,8,Lauren Collins,user703@example.com,(458)209-0122x82476,207.31,2025-12-01 11:36:09.717520,0.0,0.0,Toronto,London,2025-05-02 21:14:09.717520,2025-05-03 01:44:09.717520,2,0.0,-212
56,975,465,2025-11-08 21:36:09.717520,8,Richard Mccoy,user975@example.com,251-370-7575x226,288.33,2025-11-10 06:36:09.717520,0.0,0.0,Paris,London,2025-03-11 22:59:09.717520,2025-03-12 01:36:09.717520,2,0.0,-242
57,349,431,2025-11-02 03:36:09.717520,8,Maurice Lee,user349@example.com,+1-539-228-2990x378,274.37,2025-11-05 01:36:09.717520,0.0,0.0,New York,Baku,2025-06-02 20:44:09.717520,2025-06-03 04:39:09.717520,3,0.0,-153
58,200,242,2025-02-04 09:36:09.717520,8,Wendy Burgess,user200@example.com,829.216.4687,423.7,2025-02-06 22:36:09.717520,0.0,0.0,Berlin,New York,2025-10-05 09:03:09.717520,2025-10-05 12:47:09.717520,2,0.0,242
59,1145,391,2025-03-04 07:36:09.717520,10,William Lane,user1145@example.com,367.629.4752x610,716.2,2025-03-06 21:36:09.717520,0.0,0.0,New York,London,2025-06-05 20:48:09.717520,2025-06-06 04:55:09.717520,2,0.0,93
60,183,114,2025-05-30 17:36:09.717520,8,Tammie Hernandez,user183@example.com,818.627.9476x7422,543.4,2025-06-01 18:36:09.717520,0.0,0.0,Toronto,Berlin,2025-07-12 14:05:09.717520,2025-07-12 19:49:09.717520,2,0.0,42
61,629,216,2025-05-18 21:36:09.717520,8,Kimberly Conner,user629@example.com,(961)301-3587,160.35,2025-05-21 20:36:09.717520,0.0,0.0,Toronto,London,2025-07-12 12:02:09.717520,2025-07-12 18:45:09.717520,3,0.0,54
62,603,238,2025-01-30 01:36:09.717520,8,Michael Fernandez,user603@example.com,991.927.1205x0255,299.09,2025-01-30 02:36:09.717520,0.0,0.0,Baku,Madrid,2025-04-18 14:27:09.717520,2025-04-18 20:54:09.717520,5,0.0,78
63,1196,298,2025-10-13 12:36:09.717520,8,Mr. Gerald Cunningham,user1196@example.com,560.984.6619x6603,683.29,2025-10-13 19:36:09.717520,0.0,0.0,Berlin,Madrid,2025-04-26 06:39:09.717520,2025-04-26 09:20:09.717520,2,0.0,-171
64,399,257,2025-01-31 07:36:09.717520,8,Edward Bullock,user399@example.com,995-768-3728x22639,548.74,2025-01-31 10:36:09.717520,0.0,0.0,Istanbul,New York,2025-07-27 08:09:09.717520,2025-07-27 14:17:09.717520,5,0.0,177
65,612,212,2024-12-27 14:36:09.717520,8,Michelle Stephens,user612@example.com,001-239-468-1766x7357,507.25,2024-12-30 11:36:09.717520,0.0,0.0,New York,Rome,2024-12-09 21:55:09.717520,2024-12-10 01:08:09.717520,2,0.0,-18
66,411,176,2025-06-28 04:36:09.717520,10,Joshua Bailey,user411@example.com,(271)649-2250x8256,603.36,2025-06-28 06:36:09.717520,0.0,0.0,Istanbul,London,2025-01-12 13:03:09.717520,2025-01-12 15:50:09.717520,3,0.0,-167
67,938,74,2025-05-11 08:36:09.717520,8,Pamela Harris,user938@example.com,+1-232-713-6696x9109,425.65,2025-05-12 21:36:09.717520,0.0,0.0,New York,Istanbul,2025-02-08 14:50:09.717520,2025-02-08 22:34:09.717520,2,0.0,-92
68,166,250,2025-05-20 06:36:09.717520,11,Molly Fernandez,user166@example.com,+1-460-275-0685x10111,572.25,2025-05-22 16:36:09.717520,0.0,0.0,Dubai,Paris,2025-10-09 20:20:09.717520,2025-10-10 04:32:09.717520,2,0.0,142
69,642,325,2024-12-29 10:36:09.717520,8,James Schmidt,user642@example.com,(546)264-1060x621,535.03,2024-12-30 11:36:09.717520,0.0,0.0,Madrid,New York,2025-03-30 03:49:09.717520,2025-03-30 04:57:09.717520,2,0.0,90
70,429,390,2025-02-25 04:36:09.717520,8,Ronald Woods,user429@example.com,477.676.3710x743,591.93,2025-02-26 21:36:09.717520,0.0,0.0,Paris,Berlin,2025-04-22 09:27:09.717520,2025-04-22 12:03:09.717520,2,0.0,56
71,1003,403,2025-01-14 14:36:09.717520,8,Dustin Best,user1003@example.com,001-527-614-3460x57285,364.99,2025-01-15 14:36:09.717520,0.0,0.0,Baku,New York,2025-09-05 17:03:09.717520,2025-09-05 19:50:09.717520,3,0.0,234
72,880,207,2025-07-08 01:36:09.717520,8,Kristin Nguyen,user880@example.com,+1-500-979-2463x932,686.98,2025-07-10 08:36:09.717520,0.0,0.0,Madrid,Dubai,2025-05-23 08:14:09.717520,2025-05-23 10:04:09.717520,2,0.0,-46
73,78,274,2025-03-13 09:36:09.717520,8,Susan Nelson,user78@example.com,(544)936-4061,186.34,2025-03-14 05:36:09.717520,0.0,0.0,Berlin,Madrid,2025-06-24 21:38:09.717520,2025-06-25 04:41:09.717520,2,0.0,103
74,29,457,2025-05-14 02:36:09.717520,8,Jessica Estrada,user29@example.com,001-511-860-4783x31556,786.29,2025-05-14 10:36:09.717520,0.0,0.0,Paris,Rome,2025-04-12 21:35:09.717520,2025-04-13 05:19:09.717520,3,0.0,-32
75,9,321,2025-04-06 17:36:09.717520,8,Kaitlyn Kelley,user9@example.com,4774371674,271.18,2025-04-07 03:36:09.717520,0.0,0.0,London,Berlin,2024-12-01 10:55:09.717520,2024-12-01 19:38:09.717520,3,0.0,-127
76,706,160,2025-02-04 13:36:09.717520,8,Nicole Shaw,user706@example.com,+1-201-484-7086x3054,360.74,2025-02-05 06:36:09.717520,0.0,0.0,Istanbul,New York,2025-10-11 23:53:09.717520,2025-10-12 01:37:09.717520,2,0.0,249
77,1206,157,2025-02-23 12:36:09.717520,9,David Collins,user1206@example.com,378.262.1846,226.67,2025-02-25 13:36:09.717520,0.0,0.0,Berlin,Dubai,2025-01-28 14:38:09.717520,2025-01-28 15:57:09.717520,6,0.0,-26
78,611,486,2025-04-28 00:36:09.717520,8,Michael Bryant,user611@example.com,001-823-740-1313,139.29,2025-04-29 17:36:09.717520,0.0,0.0,Baku,Dubai,2025-09-16 11:47:09.717520,2025-09-16 18:45:09.717520,3,0.0,141
79,1222,269,2025-05-21 23:36:09.717520,10,Catherine Nelson,user1222@example.com,706.391.1198,712.93,2025-05-24 11:36:09.717520,0.0,0.0,Dubai,Paris,2025-02-10 13:39:09.717520,2025-02-10 19:03:09.717520,5,0.0,-101
80,275,176,2025-08-07 21:36:09.717520,8,Sophia Simpson,user275@example.com,380.611.8221,581.32,2025-08-10 01:36:09.717520,0.0,0.0,Istanbul,London,2025-01-12 13:03:09.717520,2025-01-12 15:50:09.717520,3,0.0,-208
81,338,486,2025-06-24 10:36:09.717520,8,Aaron Hunt,user338@example.com,661-268-5156,91.72,2025-06-26 14:36:09.717520,0.0,0.0,Baku,Dubai,2025-09-16 11:47:09.717520,2025-09-16 18:45:09.717520,3,0.0,84
82,269,109,2024-12-12 04:36:09.717520,8,David Jenkins,user269@example.com,487-396-1968x0266,577.45,2024-12-13 14:36:09.717520,0.0,0.0,Paris,London,2025-09-08 12:46:09.717520,2025-09-08 14:12:09.717520,2,0.0,270
83,253,188,2025-11-30 06:36:09.717520,8,Julian Garza,user253@example.com,(941)860-2540x01961,285.47,2025-12-02 23:36:09.717520,79.87,1.0,Dubai,Toronto,2025-11-06 19:38:09.717520,2025-11-07 00:03:09.717520,6,0.27978421550425614,-24
84,769,449,2025-10-23 18:36:09.717520,8,Jennifer Mccarty,user769@example.com,710.310.6619,682.24,2025-10-26 02:36:09.717520,0.0,0.0,Berlin,Madrid,2025-01-14 04:05:09.717520,2025-01-14 05:28:09.717520,2,0.0,-283
85,100,305,2024-12-25 07:36:09.717520,8,Emily Russell,user100@example.com,001-859-425-0482x60169,290.3,2024-12-25 17:36:09.717520,0.0,0.0,Rome,Istanbul,2025-06-24 07:42:09.717520,2025-06-24 10:50:09.717520,2,0.0,181
86,41,25,2025-11-18 13:36:09.717520,8,Angela Rangel,user41@example.com,+1-680-658-1041x384,432.45,2025-11-21 13:36:09.717520,0.0,0.0,Rome,New York,2025-08-22 00:43:09.717520,2025-08-22 04:57:09.717520,1,0.0,-89
87,779,64,2025-09-06 18:36:09.717520,8,Erica Davis,user779@example.com,732-521-9839x333,670.08,2025-09-08 12:36:09.717520,0.0,0.0,Berlin,Rome,2025-03-18 00:26:09.717520,2025-03-18 06:55:09.717520,2,0.0,-173
88,314,106,2025-11-21 07:36:09.717520,8,Brittany Fisher,user314@example.com,864-366-9138,358.27,2025-11-22 14:36:09.717520,0.0,0.0,Istanbul,Toronto,2025-07-02 06:14:09.717520,2025-07-02 11:03:09.717520,2,0.0,-143
89,617,216,2025-11-03 13:36:09.717520,8,Shawn Murphy,user617@example.com,001-461-994-1453x85996,348.95,2025-11-04 21:36:09.717520,0.0,0.0,Toronto,London,2025-07-12 12:02:09.717520,2025-07-12 18:45:09.717520,3,0.0,-115
90,553,319,2025-10-07 08:36:09.717520,8,Cynthia Ortiz,user553@example.com,810.537.2073,185.31,2025-10-08 11:36:09.717520,0.0,0.0,London,Dubai,2025-06-09 23:04:09.717520,2025-06-10 06:28:09.717520,1,0.0,-120
91,215,262,2025-10-12 13:36:09.717520,8,Virginia Smith,user215@example.com,502.913.9650x459,603.67,2025-10-14 07:36:09.717520,341.88,1.0,London,Paris,2025-11-03 06:22:09.717520,2025-11-03 13:15:09.717520,5,0.5663359120049034,21
92,218,255,2025-03-12 05:36:09.717520,8,Stephen Spencer,user218@example.com,(572)791-9639x51783,746.3,2025-03-13 13:36:09.717520,0.0,0.0,New York,London,2025-10-09 12:40:09.717520,2025-10-09 18:05:09.717520,6,0.0,211
93,539,426,2025-08-24 16:36:09.717520,8,Meagan Jensen,user539@example.com,410-848-5106x26614,685.5,2025-08-25 13:36:09.717520,0.0,0.0,Dubai,Paris,2025-01-13 13:44:09.717520,2025-01-13 16:21:09.717520,3,0.0,-224
94,840,152,2025-02-20 11:36:09.717520,8,Mia Scott,user840@example.com,+1-769-714-9926x828,55.28,2025-02-20 18:36:09.717520,0.0,0.0,Dubai,Berlin,2025-05-22 14:05:09.717520,2025-05-22 16:14:09.717520,3,0.0,91
95,426,353,2025-08-03 20:36:09.717520,8,Matthew Simmons,user426@example.com,254.611.1660x38518,85.31,2025-08-04 10:36:09.717520,0.0,0.0,London,Istanbul,2025-08-13 00:17:09.717520,2025-08-13 06:53:09.717520,6,0.0,9
96,27,344,2025-01-14 13:36:09.717520,9,Timothy Herman,user27@example.com,+1-256-313-7071x465,340.72,2025-01-16 14:36:09.717520,0.0,0.0,New York,Baku,2025-08-25 12:29:09.717520,2025-08-25 15:21:09.717520,2,0.0,222
97,1012,77,2025-01-16 02:36:09.717520,8,Michael Cobb,user1012@example.com,615-553-0426,546.01,2025-01-16 21:36:09.717520,0.0,0.0,Rome,Berlin,2025-06-18 00:10:09.717520,2025-06-18 04:41:09.717520,2,0.0,152
98,208,464,2025-04-11 06:36:09.717520,8,Christopher Gould,user208@example.com,659.409.8195,83.18,2025-04-11 15:36:09.717520,0.0,0.0,Paris,Istanbul,2025-07-24 14:27:09.717520,2025-07-24 17:34:09.717520,1,0.0,104
99,607,136,2025-07-25 11:36:09.717520,8,Larry White,user607@example.com,812.823.5753x76550,696.69,2025-07-27 19:36:09.717520,0.0,0.0,Madrid,Istanbul,2025-05-18 08:30:09.717520,2025-05-18 15:50:09.717520,2,0.0,-69
100,358,448,2024-12-20 19:36:09.717520,8,Jennifer Stokes,user358@example.com,551.552.5227,567.89,2024-12-20 23:36:09.717520,66.6,1.0,New York,Baku,2025-06-23 13:32:09.717520,2025-06-23 22:27:09.717520,2,0.11727623307330644,184
101,641,219,2025-01-28 13:36:09.717520,10,Crystal Hall,user641@example.com,(449)540-8654,624.46,2025-01-29 17:36:09.717520,0.0,0.0,Madrid,Toronto,2025-08-27 23:46:09.717520,2025-08-28 04:37:09.717520,2,0.0,211
102,94,5,2025-02-09 07:36:09.717520,8,Jordan Castillo,user94@example.com,298-474-7077,296.95,2025-02-09 21:36:09.717520,0.0,0.0,Rome,Istanbul,2025-01-16 22:42:09.717520,2025-01-17 05:36:09.717520,2,0.0,-24
103,674,184,2025-07-13 05:36:09.717520,8,Brandon Cross,user674@example.com,+1-610-376-2232x769,318.11,2025-07-15 15:36:09.717520,0.0,0.0,Rome,London,2025-06-07 20:22:09.717520,2025-06-08 03:11:09.717520,5,0.0,-36
104,191,191,2025-05-24 15:36:09.717520,8,Charlotte Wilson,user191@example.com,976-535-9696x5881,437.43,2025-05-26 02:36:09.717520,0.0,0.0,New York,Paris,2025-08-14 04:29:09.717520,2025-08-14 10:33:09.717520,2,0.0,81
105,820,493,2025-07-21 18:36:09.717520,9,Stephen Small,user820@example.com,+1-914-287-5075x723,128.5,2025-07-23 02:36:09.717520,0.0,0.0,Berlin,Istanbul,2025-01-06 20:46:09.717520,2025-01-07 03:56:09.717520,3,0.0,-196
106,980,410,2025-07-04 06:36:09.717520,10,Holly Gross,user980@example.com,(328)482-0401x157,538.55,2025-07-04 23:36:09.717520,0.0,0.0,Rome,Paris,2025-11-11 23:07:09.717520,2025-11-12 02:43:09.717520,2,0.0,130
107,342,58,2025-02-06 08:36:09.717520,8,Megan Hamilton,user342@example.com,+1-614-800-1132,688.12,2025-02-07 01:36:09.717520,0.0,0.0,Berlin,Baku,2025-01-25 06:03:09.717520,2025-01-25 12:49:09.717520,3,0.0,-13
108,327,54,2025-07-02 04:36:09.717520,8,Tiffany Wood,user327@example.com,388.826.3210x0498,520.84,2025-07-05 04:36:09.717520,0.0,0.0,Dubai,Paris,2025-03-13 00:58:09.717520,2025-03-13 06:50:09.717520,3,0.0,-112
